tag,version
jammy-20221020,22.04.1
jammy-20221101,22.04.1
jammy-20221130,22.04.1
jammy-20230126,22.04.1
jammy-20230301,22.04.2
jammy-20230308,22.04.2
jammy-20230425,22.04.2
jammy-20230522,22.04.2
jammy-20230605,22.04.2
jammy-20230804,22.04.3
jammy-20230816,22.04.3
jammy-20230916,22.04.3
jammy-20231004,22.04.3
jammy-20231211.1,22.04.3
jammy-20240111,22.04.3
jammy-20240125,22.04.3
jammy-20240212,22.04.3
jammy-20240416,22.04.4
jammy-20240427,22.04.4
jammy-20240530,22.04.4
jammy-20240627.1,22.04.4
jammy-20240808,22.04.4
jammy-20240911.1,22.04.5
jammy-20250126,22.04.5
jammy-20250404,22.04.5
jammy-20250415.1,22.04.5
jammy-20250619,22.04.5
jammy-20250714,22.04.5
jammy-20250730,22.04.5
jammy-20250819,22.04.5
jammy-20251001,22.04.5
jammy-20251013,22.04.5
jammy-20260109,22.04.5
jammy-20260210.1,22.04.5
kinetic-20220428,22.10
kinetic-20220602,22.10
kinetic-20220801,22.10
kinetic-20220830,22.10
kinetic-20220922,22.10
kinetic-20221024,22.10
kinetic-20221101,22.10
kinetic-20221130,22.10
kinetic-20230126,22.10
kinetic-20230217,22.10
kinetic-20230412,22.10
kinetic-20230605,22.10
kinetic-20230624,22.10
latest,24.04.4
lunar,23.04
lunar-20221207,23.04
lunar-20221216,23.04
lunar-20230124.1,23.04
lunar-20230128,23.04
lunar-20230301,23.04
lunar-20230314,23.04
lunar-20230415,23.04
lunar-20230420,23.04
lunar-20230522,23.04
lunar-20230615,23.04
lunar-20230731,23.04
lunar-20230816,23.04
lunar-20231004,23.04
lunar-20231128,23.04
mantic,23.10
mantic-20230511.1,23.10
mantic-20230520,23.10
mantic-20230607,23.10
mantic-20230624,23.10
mantic-20230712,23.10
mantic-20230801,23.10
mantic-20230807.1,23.10
mantic-20230819,23.10
mantic-20230912,23.10
mantic-20230926,23.10
mantic-20231011,23.10
mantic-20231128,23.10
mantic-20240122,23.10
mantic-20240216,23.10
mantic-20240405,23.10
mantic-20240416,23.10
mantic-20240427,23.10
mantic-20240530,23.10
noble,24.04.4
noble-20231126.1,24.04
noble-20231214,24.04
noble-20231221,24.04
noble-20240114,24.04
noble-20240127.1,24.04
noble-20240212,24.04
noble-20240225,24.04
noble-20240407.1,24.04
noble-20240423,24.04
noble-20240429,24.04
noble-20240530,24.04
noble-20240605,24.04
noble-20240801,24.04
noble-20240904.1,24.04.1
noble-20241009,24.04.1
noble-20241011,24.04.1
noble-20241015,24.04.1
noble-20241118.1,24.04.1
noble-20250127,24.04.1
noble-20250404,24.04.2
noble-20250529,24.04.2
noble-20250619,24.04.2
noble-20250714,24.04.2
noble-20250716,24.04.2
noble-20250805,24.04.3
noble-20250925,24.04.3
noble-20251001,24.04.3
noble-20260113,24.04.3
noble-20260210.1,24.04.4
oracular,24.10
oracular-20240527,24.10
oracular-20240617,24.10
oracular-20240811.1,24.10
oracular-20240913,24.10
oracular-20240918,24.10
oracular-20241009,24.10
oracular-20241120,24.10
oracular-20250225,24.10
oracular-20250428,24.10
oracular-20250619,24.10
plucky,25.04
plucky-20241213,25.04
plucky-20250402,25.04
plucky-20250415,25.04
plucky-20250521,25.04
plucky-20250619,25.04
plucky-20250714,25.04
plucky-20250730,25.04
plucky-20250910,25.04
plucky-20250925.1,25.04
plucky-20251001,25.04
precise,12.04.5
precise-20160624,12.04.5
precise-20160707,12.04.5
precise-20160819,12.04.5
precise-20161102,12.04.5
precise-20161123,12.04.5
precise-20161209,12.04.5
precise-20170214,12.04.5
precise-20170331,12.04.5
questing,25.10
questing-20250514,25.10
questing-20250601,25.10
questing-20250620,25.10
questing-20250721,25.10
questing-20250806,25.10
questing-20250830,25.10
questing-20251007,25.10
questing-20251029,25.10
questing-20251217,25.10
resolute,26.04
resolute-20251101,26.04
resolute-20251130,26.04
resolute-20251208,26.04
resolute-20260106.1,26.04
resolute-20260108,26.04
trusty,14.04.6
trusty-20160624,14.04.4
trusty-20160711,14.04.4
trusty-20160802,14.04.5
trusty-20160819,14.04.5
trusty-20160914,14.04.5
trusty-20160923.1,14.04.5
trusty-20161006,14.04.5
trusty-20161101,14.04.5
trusty-20161123,14.04.5
trusty-20161214,14.04.5
trusty-20170119,14.04.5
trusty-20170214,14.04.5
trusty-20170330,14.04.5
trusty-20170602,14.04.5
trusty-20170620,14.04.5
trusty-20170719,14.04.5
trusty-20170728,14.04.5
trusty-20170817,14.04.5
trusty-20171117,14.04.5
trusty-20171207,14.04.5
trusty-20180112,14.04.5
trusty-20180123,14.04.5
trusty-20180412,14.04.5
trusty-20180420,14.04.5
trusty-20180929,14.04.5
trusty-20181115,14.04.5
trusty-20181217,14.04.5
trusty-20190122,14.04.5
trusty-20190305,14.04.6
trusty-20190425,14.04.6
trusty-20190515,14.04.6
trusty-20191217,14.04.6
wily,15.10
wily-20160602,15.10
wily-20160706,15.10
xenial,16.04.7
xenial-20160525,16.04
xenial-20160629,16.04
xenial-20160706,16.04
xenial-20160713,16.04
xenial-20160809,16.04.1
xenial-20160818,16.04.1
xenial-20160914,16.04.1
xenial-20160923.1,16.04.1
xenial-20161114,16.04.1
xenial-20161121,16.04.1
xenial-20161213,16.04.1
xenial-20170119,16.04.1
xenial-20170214,16.04.2
xenial-20170410,16.04.2
xenial-20170417.1,16.04.2
xenial-20170510,16.04.2
xenial-20170619,16.04.2
xenial-20170710,16.04.2
xenial-20170802,16.04.3
xenial-20171006,16.04.3
xenial-20171201,16.04.3
xenial-20180112.1,16.04.3
xenial-20180123,16.04.3
xenial-20180228,16.04.4
xenial-20180412,16.04.4
xenial-20180417,16.04.4
xenial-20180525,16.04.4
xenial-20180705,16.04.4
xenial-20180726,16.04.5
xenial-20181005,16.04.5
xenial-20181113,16.04.5
xenial-20181218,16.04.5
xenial-20190425,16.04.6
xenial-20190515,16.04.6
xenial-20190610,16.04.6
xenial-20190720,16.04.6
xenial-20191010,16.04.6
xenial-20191024,16.04.6
xenial-20191108,16.04.6
xenial-20191212,16.04.6
xenial-20200114,16.04.6
xenial-20200212,16.04.6
xenial-20200326,16.04.6
xenial-20200514,16.04.6
xenial-20200619,16.04.6
xenial-20200706,16.04.6
xenial-20200807,16.04.7
xenial-20200903,16.04.7
xenial-20200916,16.04.7
xenial-20201014,16.04.7
xenial-20210114,16.04.7
xenial-20210416,16.04.7
xenial-20210804,16.04.7
yakkety,16.10
yakkety-20160708,16.10
yakkety-20160717,16.10
yakkety-20160806.1,16.10
yakkety-20160826,16.10
yakkety-20160919,16.10
yakkety-20160923.1,16.10
yakkety-20161013,16.10
yakkety-20161104,16.10
yakkety-20161213,16.10
zesty,17.04
zesty-20161129.1,17.04
zesty-20161212,17.04
zesty-20170118,17.04
zesty-20170411,17.04
zesty-20170517.1,17.04
zesty-20170619,17.04
zesty-20170703,17.04
zesty-20170913,17.04
zesty-20170915,17.04
zesty-20171114,17.04
zesty-20171122,17.04
